body,rating
خیلی کیفیتش پایینه و اصلا شبیه عکسش نیست پرینتش ضعیف بوده,2
کیفیت چاپ انقدر پاینه که از روی تصویر پرینت گرفته شده برش محصول با دست بریده شده. دقیق و تمیز نیست اندازه محصول مطابق مشخصات نیست بسته بندی افتضاح داره به فروشنده دقت کنید.,1
نسبت به قیمت گرونه ولی کیفیتش خوبه,3
ارزش خریدن داره در صورتی ک جداگونه خودمون بهش چسب بزنیم,1.75
یکم کوچیک بود ولی باحاله,3
برای روی دفتر و کتاب خوبه,3
بد نیست ولی اون‌قدری که انتظار داشتم زیبا نبود...جنس برچسب‌ها شبیه برچسب‌های کاغذیه که برای بچه‌ها می‌خریم و به لپ تاپ به جلوه ی فیکی می‌ده...ولی نسبت به قیمتش بد نیست,3
نسبت به عکسش خیلی خوشگل نبود,1
خیلی جالب نیست اندازه ش بزرگه و باید برش بزنی بنظرم قیمت نسبت به کیفیت بالاست,3
یکم سایزش بزرگتره باید قیچی کرد,2
معمولی بود,3
کیفیت بد یک روز نیست چسبوندم لپ تاپ ور اومده ,2
به درد نمیخوره,1
خوبه قضنگه,3
بسیار آشغال بود,1
خوبه ,2
کاش رنگش سیاه بود این رنگ خیلی مسخرس,1
بد نیست خوبه,3
"خوبن. ممنون
 به جز لپتاپ روی سطوح دیگه هم میتونین استفاده کنید.",3
برچسب های خوبی هستن اما بخاطر رنگ سفیدشون بعد یه مدت چرک میشن یه جورایی چرک تابن ,3
خوب نبود کیفیتش مثل عکس نیست,1
قیمت مناسب و طرح خوبی داره، اندازه اش هم خوبه ولی خب چون میچسبه بیشتر از یکی دوبار نمیشه جابجاش کرد,0
کیفیت چاپش اصلا خوب نیست,3
شبیه تصویر بود کاملا,3
زود باطری خراب میشه,3
بدرد نمیخوره,2
مسخره بود مرجوع کردم,1
مثل باتری فابریک نیست ولی کار راه میندازه ,0
خراب بود کار نکرد,1
توصیه به امتحان هم نمیکنم پول را دور انداختن میباشد,1
"من تازه باطری را تحویل گرفتم از لحاظ جا رفتن خوب بود مثل باطری اصلی سرجاش نشست. در مورد شارژ هم یکبار کامل شارژش کردم در حدود یک ساعت و نیم جواب میده
خوبه نسبتا چون باخره اصلی که نیست کارتونو راه میاندازه. ",0
اصل نیست همانطور که اشاره شده و چند ماه بیشتر دوام نمیار,3
باطری کاملا سالم بود و ۲ ساعت و نیم شارژ نگه میداره .قیمت هم نسبت به بازار خیلی بهتر است اما در توضیحات اومده ظرفیت باطری ۳۱۰۰در صورتی که باطری ادسال شده ظرفیت ۲۲۰۰ بود,0
خریدمش ولی مجبور شدم مرجوعش کنم چرا که برخلاف آنچه نوشته بودند به دستگاهم نخورد و شناسائیش نکرد ضمن اینکه تاریخ تولیدش مربوط به 2010 هست که حتما توی این مدت خراب شده و از کار افتاده.,1
برای کار های کوچک مثل برق رفتن خوبه ولی برا استفاده کاملا بی کیفیته,0
هرکاری کردم از چسبش جدا نشد که استفاده اش کنم,2
خوبه بد نیست,3
شبیه عکسش نیست چاپش رنگ و رو رفته‌است,2
قشنگه,3
خوبه فقط اینکه عکسش یکم تاره و کیفیت اونحوری که میخوای نداره,3
"حتی توی اینجا هم کم فروشی میشه
نوشته شده ۷ سانتی متری ولی ۵ سانتی میفرستن!!
لطفا پیگیری شود",1
کیفیت پایین ,3
"خوبه من زدم به گوشه ی آینم 
کوچیک و بامزه هست با اتاق من ست هست
چاپش عین عکس فقط جاهای خالی تو عکس واسه من سفیده",3
خیلی کیوت و قشنگه ولی جنس برچسب خوب نبود ,3
من این استیکر رو فقط به خاطر آسونا سفارش داده بودم هزینه هر دو استیکر حساب شده بود روی برچسب‌ش هم بود ولی داخل بسته بندی خبری از آسونا نبود،خیلی ناراحتم,1
فقط استیکر سمت راستی باهاش بود سمت چپی نبود,1
کیفیت چاپش خیلی خوبه,3
من برای هدیه گرفتم ولی خیلی کیفیت خوبی نداشت,2
هر دو استیکر پاره بود و اصلاً برش خوبی نداشت.,1
"خیلی خوشحالم از خریدی که انجام دادم 
فقط قبل از خرید در توضیحات ابعاد برچسب ها رو بخونید تا وقتی برچسب میرسه دستتون ابراز ناراحتی نکنید
یک نقطه کوچولو بود که برچسب از قالب ش برش نخورده بود اما چیزی نبود که بابتش بخوام بگم نخرید، فقط یدونه نقطه کوچولو بود که با قیچی خودم بریدمش
تو خریدش شک نکنید/ بسته دوتا برچسب همراهش داره که من فعلا یدونه شو چسبوندم اون یکی هم مثل همون با کیفیت و خوش رنگه
نور عکس من یکم زیاد شد ، کیفیت از اون چیزی که تو عکس به نظر می رسه بهتره :)",0
خوب بود....‌,3
کوچکتر از چیزی بود که فکر میکردمکمی هم چاپش مات هستش که سلیقه بنده نیست اما کیفیتش خوبه,3
خیلی خوشگله,3
قشنگه,3
رنگش به شدت خراب بود,1
خوبه ضرر نمیکنید,0
خوبه فقط کاش خط برشش معلوم نبود ,3
خیلی خوبه قشنگه برا ترفداری بریکنگ بد,3
طرح فان و قشنگیه,3
بد نیست ولی اون‌قدری که انتظار داشتم زیبا نبود...جنس برچسب‌ها شبیه برچسب‌های کاغذیه که برای بچه‌ها می‌خریم و به لپ تاپ به جلوه ی فیکی می‌ده...ولی نسبت به قیمتش بد نیست,3
نسبت به عکسش خیلی خوشگل نبود,1
خیلی جالب نیست اندازه ش بزرگه و باید برش بزنی بنظرم قیمت نسبت به کیفیت بالاست,3
یکم سایزش بزرگتره باید قیچی کرد,2
معمولی بود,3
افتضاح کیفیت هم نداره,1
بد بود,1
بعد ۳بار سفارش دادن و هر بار حذف شدنش  از ثبت خریدم سر اخر اینو فرستادن یه یرچسب زشت بی ربط,1
دو ساله داریم عالیه,3
بوی بد میداد یه روز تو حیاط گذاشتمش تا بوش بره,3
کیفیتش خیلی خوبه راضیم ,3
"طراحی و سه حالته بودنش جالب است
اگه انتظار فضای داخلی زیاد نداشته باشید خوب است",3
کاش بند رودوشی کیف هم از جنس خود کیف بود و محکم تر و شیک تر طراحی میشد,3
سلام خسته نباشین من این کیفو برای برادرم سفارش دادم و ازش نظر خواهی کردم ک چ رنگشو میخاد با توجه ب عکس و اینک دو رنگ‌ موجود داشت گفت خاکستری مردونه تره و منم خاکستری رو سفارش دادم اما با کمال تعجب رنگ کیف اصن خاکستری نیست بلکه آبی روشنه واقعا انتظار همچین چیزی از هر خرید اینترنتی داشدم جز دیجی کالا,2.77
اشغال 24 ساعت کار کرد,1
جنس نامناسب و غیر مطمئن ,2
استفاده کردم عاای بود ارزونتر از بیرون از اینجا تهیه کردم  با  کیفیت بود ,3
دو سه روز درست کار کرد. دوسه روز هم با وضعیت قطع و وصل کارکرد و بعد از چند روز قطع شد کاملا,2
کلا 5 روز بیشتر کار نکرد,1
كيفيتش متوسط و خوب هستنميشه گفت عالى عالىاما نسبت به قيمت بسيار عالى,3
واقعا افتضاح و جنس داغون دومين بار بعد استفاده اتصالي كرد و سيمش از وسط سوخت ,1
خیلی دوسش دارم عالیه,3
خیلی قشنگ و خوبه ممنونم,3
برشی که توسط بسته بندی کننده زده شده بود ، باعث خراب شدن محصول و عدم کارایی آن شد . تنها به خاطر مبلغ اش از باز پس دهی آن منصرف شدم,0.25
خوب بود,3
چسبندگیش خوبه ولی کیفیت چاپش کمه,3
همه چیز تمام,0
کیفیتش عالیخ,0
قشنگ بود.........,3
زیاد از اندازه و جنسش خوشم نیومد ولی عکسش قشنگ بود,0
من واسه گیتارم گرفتم و عالی بود,0
کیفیت چاپ خوب,0
استیکر خودش خوب بود اما تو بسته بندی جالبی از طرف فروشنده نبود!,0
افتضاحبی کیفیت کوچیک بدون بسته بندی مطابق عکس نیست,1
من این استیکر رو از گروه طراحی گراسیپا سفارش دادم ، فقط یک برگ کاغذ برچسبی بی کیفیت حدود 10 در 10 سانت که ارزش 500 تومان هم ندارد,1
خوب بود,3
قشنگ بود.........,3
زیاد از اندازه و جنسش خوشم نیومد ولی عکسش قشنگ بود,0
چسبندگیش خوبه ولی کیفیت چاپش کمه,3
همه چیز تمام,0
کیفیتش عالیخ,0
استیکر دوربری نداشت و دارای کیفیت بسیار پایینی بود.,1
عالی,3
نسبت به عکس کوچیکتره,3
فقط شکله کیفه وگرنه گونی جنسش از این بهتره,1
توصیه نمی کنم هنگامی که در لپ تاپ قرار میدی و روشن  میکنی بصورت ممتد بوق میزنه احتمالا بخاطر غیر استاندارد بودنشه,1
جنس اشغال ,1
نسبت به قیمت کیفیت مرغوب داشت,3
جالب نبود جنس یه جوری بود کندم از رو لبتاپ ,3
سایزش خیلی کوچکهبدرد پشت تب لت میخورهبه نوعی جنبه فانتزی,3
بد نیست,0
تا عمر دارم دیگه از فروشگاه کارنیکا برچسب نمیخرم این دفعه هم حواسم نبود الان دیدم برش های برچسب ها رو خیلی بد زده بودند و اصلا دقیق نبودن و یه برچسب دیگه هم سفارش داده بودم که کلا یه چیز دیگه آورده بودن,1.25
کیفیت تصویر برچسب خیلی پایین,3
دوستارید بگیرید بد نیست خوبه ,3
قشنگ و جذابه,3
کیفیت چاپ پایین بودولی جنس استیکر ضد آب بود,2
واقعا پولم رو حروم کردم,2
در نهايت برچسب هاي روي كيبورد جالب نيست,3
من راضی نبودم,0
هنوز استفاده نکردم ولی همه چیزش خوب است. ممنون.,0
یه مقدار کیفیت چاپ پایینه,3
کیفیت چاپش خوب نیست و کمرنگه,3
برای دخترم خریدم راضی بود,3
زیاد از اندازه و جنسش خوشم نیومد ولی عکسش قشنگ بود,0
قشنگ بود.........,3
چسبندگیش خوبه ولی کیفیت چاپش کمه,3
همه چیز تمام,0
کیفیتش عالیخ,0
استیکر دوربری نداشت و دارای کیفیت بسیار پایینی بود.,1
عالی,3
نسبت به عکس کوچیکتره,3
من گرفتمش ولی تاش کرده بودن گذاشته بودنش داخله جعبه و اون تا زدن باعث ترک خوردنش شده بود من مرجوعش کردم ,2
پیشنهاد میکنم خوشگل است,3
بدک نیست ولی رنگا میتونست زنده تر و با کیفیت تر باشه,3
استیکر دوربری نداشت و دارای کیفیت بسیار پایینی بود.,1
عالی,3
نسبت به عکس کوچیکتره,3
